"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular/animations","13.3.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/cdk","13.3.9","MIT","Copyright (c) 2025 Google LLC.","https://www.npmjs.com/package/%40angular%2Fcdk"
"nodejs","@angular/common","13.3.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","13.3.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","13.3.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/forms","13.3.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/material","13.3.9","MIT","Copyright (c) 2025 Google LLC.","https://www.npmjs.com/package/%40angular%2Fmaterial"
"nodejs","@angular/material-moment-adapter","13.3.9","MIT","Copyright (c) 2025 Google LLC.","https://www.npmjs.com/package/%40angular%2Fmaterial-moment-adapter"
"nodejs","@angular/platform-browser","13.3.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","13.3.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","13.3.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@angular/service-worker","13.3.9","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fservice-worker"
"nodejs","@schematics/angular","20.1.0","MIT","Copyright (c) 2010-2026 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40schematics%2Fangular"
"nodejs","@sigit/common-lib","2.0.0","","",""
"nodejs","@zxing/browser","0.1.1","MIT","Copyright (c) 2018 ZXing for JS","https://www.npmjs.com/package/%40zxing%2Fbrowser"
"nodejs","@zxing/library","0.19.3","MIT","Copyright (c) 2005 Sun Microsystems, Inc.Copyright Copyright 2010-2014 University of ManchesterCopyright Copyright 2010-2015 Stian Soiland-ReyesCopyright Copyright 2015 Peter HullAll Rights Reserved.","https://www.npmjs.com/package/%40zxing%2Flibrary"
"nodejs","@zxing/ngx-scanner","3.5.0","MIT","Copyright (c) 2018 zxing-web project","https://www.npmjs.com/package/%40zxing%2Fngx-scanner"
"nodejs","@zxing/text-encoding","0.9.0","Unlicense,Apache-2.0","","https://www.npmjs.com/package/%40zxing%2Ftext-encoding"
"nodejs","moment","2.30.1","MIT","Copyright (c) JS Foundation and other contributors","https://www.npmjs.com/package/moment"
"nodejs","ngx-permissions","13.0.1","MIT","Copyright (c) 2017 AlexKhymenko","https://www.npmjs.com/package/ngx-permissions"
"nodejs","parse5","5.1.1","MIT","Copyright (c) 2013-2019 Ivan Nikulin (ifaaan@gmail.com, https://github.com/inikulin)","https://www.npmjs.com/package/parse5"
"nodejs","parse5","6.0.1","MIT","Copyright (c) 2013-2019 Ivan Nikulin (ifaaan@gmail.com, https://github.com/inikulin)","https://www.npmjs.com/package/parse5"
"nodejs","rxjs","6.6.7","Apache-2.0","Copyright (c) 2015-2025     Ben Lesh <ben@benlesh.com>    Google, Inc.    Netflix, Inc.    Microsoft Corp.    and contributors","https://www.npmjs.com/package/rxjs"
"nodejs","ts-custom-error","3.3.1","MIT","Copyright (c) 2019 Adrien Gibrat https://github.com/adriengibrat","https://www.npmjs.com/package/ts-custom-error"
"nodejs","tslib","1.14.1","0BSD","Copyright (c) Microsoft Corporation.","https://www.npmjs.com/package/tslib"
"nodejs","tslib","2.3.1","0BSD","Copyright (c) Microsoft Corporation.","https://www.npmjs.com/package/tslib"
"nodejs","tslib","2.8.1","0BSD","Copyright (c) Microsoft Corporation.","https://www.npmjs.com/package/tslib"
"nodejs","zone.js","0.11.8","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/zone.js"
