"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","aopalliance:aopalliance","1.0","PUBDOM","","https://mvnrepository.com/artifact/aopalliance/aopalliance"
"java","asm:asm","3.3","BSD-3-Clause-INRIA,BSD","","https://mvnrepository.com/artifact/asm/asm"
"java","asm:asm-commons","3.3","BSD-3-Clause-INRIA,BSD","","https://mvnrepository.com/artifact/asm/asm-commons"
"java","asm:asm-tree","3.3","BSD-3-Clause-INRIA,BSD","","https://mvnrepository.com/artifact/asm/asm-tree"
"java","axis:axis","1.4","Apache-2.0","","https://mvnrepository.com/artifact/axis/axis"
"java","axis:axis-jaxrpc","1.4","Apache-2.0","","https://mvnrepository.com/artifact/axis/axis-jaxrpc"
"java","cglib:cglib","2.2.2","Apache-2.0","","https://mvnrepository.com/artifact/cglib/cglib"
"java","com.lowagie:itext","2.1.7","MPL-1.1,MPL-1.0","","https://mvnrepository.com/artifact/com.lowagie/itext"
"java","com.sun.xml.bind:jaxb-impl","2.1.12","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-impl"
"java","com.sun.xml.bind:jaxb-xjc","2.1.12","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-xjc"
"java","com.sun.xml.bind:jaxb1-impl","2.1.12","CNRI-Python-GPL-Compatible,CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb1-impl"
"java","com.sun.xml.messaging.saaj:saaj-impl","1.3.2","CDDL-1.0,Artistic-1.0","","https://mvnrepository.com/artifact/com.sun.xml.messaging.saaj/saaj-impl"
"java","commons-beanutils:commons-beanutils","1.7.0","Apache-2.0","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils"
"java","commons-beanutils:commons-beanutils-bean-collections","1.7.0","Apache-2.0","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils-bean-collections"
"java","commons-beanutils:commons-beanutils-core","1.7.0","Apache","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils-core"
"java","commons-collections:commons-collections","3.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-collections/commons-collections"
"java","commons-dbcp:commons-dbcp","1.2.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-dbcp/commons-dbcp"
"java","commons-digester:commons-digester","1.8","Apache-2.0","","https://mvnrepository.com/artifact/commons-digester/commons-digester"
"java","commons-discovery:commons-discovery","0.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-discovery/commons-discovery"
"java","commons-fileupload:commons-fileupload","1.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-fileupload/commons-fileupload"
"java","commons-httpclient:commons-httpclient","2.0.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-httpclient/commons-httpclient"
"java","commons-io:commons-io","1.3.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-io/commons-io"
"java","commons-lang:commons-lang","2.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-lang/commons-lang"
"java","commons-logging:commons-logging","1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging"
"java","commons-logging:commons-logging-api","1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging-api"
"java","commons-net-ftp","2.0","Apache-2.0","Apache Foundation",""
"java","commons-net:commons-net","--","Apache-2.0","","https://mvnrepository.com/artifact/commons-net/commons-net"
"java","commons-pool:commons-pool","1.5.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-pool/commons-pool"
